experiment,calibrator,position,operating_point,threshold,auc,pr_auc,brier,log_loss,ece_fixed,ece_adaptive,calibration_slope,calibration_intercept,sensitivity,specificity,tn,fp,fn,tp
stretch_nhe,temperature,pre_ensemble,C_calibrated_half,0.5,0.9675314723590586,0.9502467812191375,0.14648335226853518,0.5983226324797405,0.18420235901288565,0.18425078455990662,0.7268600498745146,-2.8144393010515563,0.9950738916256158,0.6622222222222223,149,76,1,202
stretch_nhe,intercept,post_ensemble,A_raw_oof_threshold,0.8309692740440369,0.9669184455391353,0.9470995699313709,0.19930904315707856,0.9136584084015512,0.2376432493497239,0.23764931337044262,0.6317629019125289,-3.517442444838805,0.9950738916256158,0.6933333333333334,156,69,1,202
stretch_nhe,intercept,post_ensemble,B_calibrated_oof_threshold,0.938800277020184,0.9669184455391353,0.9470995699313709,0.19930904315707856,0.9136584084015512,0.2376432493497239,0.23764931337044262,0.6317629019125289,-3.517442444838805,0.9901477832512315,0.76,171,54,2,201
stretch_nhe,intercept,post_ensemble,C_calibrated_half,0.5,0.9669184455391353,0.9470995699313709,0.19930904315707856,0.9136584084015512,0.2376432493497239,0.23764931337044262,0.6317629019125289,-3.517442444838805,0.9950738916256158,0.5333333333333333,120,105,1,202
stretch_nhe,intercept,pre_ensemble,A_raw_oof_threshold,0.8309692740440369,0.9658894362342638,0.9458201183882087,0.18505907255839812,0.882826091430332,0.22406584580508443,0.22319870898062696,0.6085047950436286,-3.3793753770667676,0.9950738916256158,0.7066666666666667,159,66,1,202
stretch_nhe,intercept,pre_ensemble,B_calibrated_oof_threshold,0.938800277020184,0.9658894362342638,0.9458201183882087,0.18505907255839812,0.882826091430332,0.22406584580508443,0.22319870898062696,0.6085047950436286,-3.3793753770667676,0.9852216748768473,0.7733333333333333,174,51,3,200
stretch_nhe,intercept,pre_ensemble,C_calibrated_half,0.5,0.9658894362342638,0.9458201183882087,0.18505907255839812,0.882826091430332,0.22406584580508443,0.22319870898062696,0.6085047950436286,-3.3793753770667676,0.9950738916256158,0.5688888888888889,128,97,1,202
stretch_nhe,platt,post_ensemble,A_raw_oof_threshold,0.8309692740440369,0.9669184455391353,0.9470995699313709,0.19388808587624579,0.8086794308614683,0.2381860693608319,0.23753384047657555,0.7351465044283638,-3.5238249336487044,0.9950738916256158,0.7111111111111111,160,65,1,202
stretch_nhe,platt,post_ensemble,B_calibrated_oof_threshold,0.9180183922204868,0.9669184455391353,0.9470995699313709,0.19388808587624579,0.8086794308614683,0.2381860693608319,0.23753384047657555,0.7351465044283638,-3.5238249336487044,0.9901477832512315,0.7644444444444445,172,53,2,201
stretch_nhe,platt,post_ensemble,C_calibrated_half,0.5,0.9669184455391353,0.9470995699313709,0.19388808587624579,0.8086794308614683,0.2381860693608319,0.23753384047657555,0.7351465044283638,-3.5238249336487044,0.9950738916256158,0.5333333333333333,120,105,1,202
