experiment,calibrator,split,position,threshold,auc,pr_auc,brier,log_loss,ece_fixed,ece_adaptive,calibration_slope,calibration_intercept,sensitivity,specificity,tn,fp,fn,tp
augment_manh,beta,oof_cross_fitted,n/a,0.8827401099146968,0.9988957157924695,0.9994653117021953,0.011412283176172334,0.039554728818367024,0.004982625938730521,0.0018593858226769035,0.9754292705897282,-0.14559012600978494,0.970204081632653,0.9950779327317474,1213,6,73,2377
augment_manh,beta,known_benchmark,post_ensemble,0.8827401099146968,0.9560591133004926,0.9461273007571409,0.22548468683081865,1.1712995779850743,0.26859130412249754,0.26859160362442325,0.5781997007273437,-3.6811208998469063,0.9950738916256158,0.6622222222222223,149,76,1,202
augment_manh,beta,known_benchmark,pre_ensemble,0.8827401099146968,0.9579419813902573,0.9516034913896783,0.2195571371141764,1.1215778175017186,0.26117386710476725,0.26117528776590887,0.6312256963454353,-3.875705249597547,0.9950738916256158,0.6666666666666666,150,75,1,202
augment_manh,isotonic,oof_cross_fitted,n/a,0.854700788034188,0.9983507726306273,0.998934507949005,0.011396196501858913,0.04513534484311434,0.008151613617119798,0.002713219421993214,0.7780452063770009,-0.1615154071530792,0.970204081632653,0.9958982772764561,1214,5,73,2377
augment_manh,isotonic,known_benchmark,post_ensemble,0.854700788034188,0.8966502463054187,0.8163728947741221,0.2263712687191782,2.0360570925158314,0.270542620874931,0.27054267367866935,0.30882381989536034,-3.44397863407913,0.9950738916256158,0.6755555555555556,152,73,1,202
augment_manh,isotonic,known_benchmark,pre_ensemble,0.854700788034188,0.9104324028461959,0.8416207434181449,0.21985756520870953,1.8414478489727546,0.2616949948657088,0.2613981476102788,0.28081643753038854,-2.8107294072869675,0.9950738916256158,0.6666666666666666,150,75,1,202
stretch_manh,raw,oof_cross_fitted,n/a,0.4133181273937225,0.9979668848671543,0.9990109053713369,0.02057040422242438,0.07185779501715354,0.02296228941915049,0.02317644181541647,0.9474370925145433,1.4808819225690637,0.970204081632653,0.9844134536505332,1200,19,73,2377
stretch_manh,raw,known_benchmark,post_ensemble,0.4133181273937225,0.9778653530377668,0.9647878799515699,0.08593028538054533,0.337603751951751,0.1176923068046532,0.12072561057164731,0.8016854733978349,-2.0714887193245373,0.9950738916256158,0.7688888888888888,173,52,1,202
stretch_manh,raw,known_benchmark,pre_ensemble,0.4133181273937225,0.9778653530377668,0.9647878799515699,0.08593028538054533,0.337603751951751,0.1176923068046532,0.12072561057164731,0.8016854733978349,-2.0714887193245373,0.9950738916256158,0.7688888888888888,173,52,1,202
stretch_manh,temperature,oof_cross_fitted,n/a,0.42140707337979266,0.9979400981065107,0.9990023287234958,0.02030535366962506,0.070533988678535,0.02404761075491081,0.024590945294052376,1.093893646714533,1.4601311489485784,0.970204081632653,0.9844134536505332,1200,19,73,2377
stretch_manh,temperature,known_benchmark,post_ensemble,0.42140707337979266,0.9778653530377668,0.9647878799515699,0.08525551487086516,0.31585870392283166,0.1196500611392787,0.12152146524916713,0.9312275646384229,-2.07149984672693,0.9950738916256158,0.7688888888888888,173,52,1,202
stretch_manh,temperature,known_benchmark,pre_ensemble,0.42140707337979266,0.9781718664477285,0.9649672819069743,0.08593367424214439,0.3208566203329897,0.11980876010082635,0.12217076023635327,0.920832290329624,-2.1267590217765253,0.9950738916256158,0.7688888888888888,173,52,1,202
