experiment,fold,clip,n_source,n_target,ks_normal,ks_p_normal,wasserstein_normal,median_gap_normal,n_source_normal,n_target_normal,ks_pneumonia,ks_p_pneumonia,wasserstein_pneumonia,median_gap_pneumonia,n_source_pneumonia,n_target_pneumonia
augment_manh,3,1e-08,734,428,0.6261930783242259,1.4044852412715339e-43,7.78713269158415,8.263295176309128,244,225,0.09577762139338494,0.13295034893691574,0.8077112252870648,0.5645018681393044,490,203
augment_manh,4,0.0001,732,428,0.5944444444444444,5.197405456506736e-39,6.773920769728441,8.164347196054354,244,225,0.08460187353629976,0.2392696342106212,0.41533559477571047,0.0,488,203
augment_manh,4,1e-06,732,428,0.5944444444444444,5.197405456506736e-39,7.957308498016378,8.47337533078405,244,225,0.09420172817572478,0.14534141782583787,0.739829206824135,0.6362214679593805,488,203
augment_manh,4,1e-08,732,428,0.5944444444444444,5.197405456506736e-39,7.9817157573099635,8.47337533078405,244,225,0.09420172817572478,0.14534141782583787,0.8047882560368206,0.6362214679593805,488,203
stretch_manh,0,0.0001,735,428,0.5711934156378601,9.035098082377008e-36,4.758924098774012,5.255277334762242,243,225,0.08087027914614121,0.28505209780663915,0.49027487558032284,0.5127949426637919,492,203
stretch_manh,0,1e-06,735,428,0.5711934156378601,9.035098082377008e-36,5.154567175215535,5.255277334762242,243,225,0.08087027914614121,0.28505209780663915,0.6113008577769672,0.5127949426637919,492,203
stretch_manh,0,1e-08,735,428,0.5711934156378601,9.035098082377008e-36,5.168857497431699,5.255277334762242,243,225,0.08087027914614121,0.28505209780663915,0.6656275656140263,0.5127949426637919,492,203
stretch_manh,1,0.0001,734,428,0.5831329690346084,1.945177927750179e-37,4.360935969422635,4.844052771621179,244,225,0.08430682617874737,0.24261626766134936,0.4025795822207655,0.0,490,203
stretch_manh,1,1e-06,734,428,0.5831329690346084,1.945177927750179e-37,5.649964188416415,5.284459548764566,244,225,0.08430682617874737,0.24261626766134936,0.49565719233511685,-0.34155977976199203,490,203
stretch_manh,1,1e-08,734,428,0.5831329690346084,1.945177927750179e-37,5.877766129173638,5.284459548764566,244,225,0.08430682617874737,0.24261626766134936,0.6263671734666176,-0.34155977976199203,490,203
stretch_manh,2,0.0001,734,428,0.597103825136612,2.3305139745917208e-39,4.650761688962133,5.541164873286967,244,225,0.056087262491203375,0.7308785668371609,0.35543589367510753,0.03919648738101955,490,203
stretch_manh,2,1e-06,734,428,0.597103825136612,2.3305139745917208e-39,6.065936480990305,6.144113047928124,244,225,0.13807178043631246,0.007443498852849909,0.7565750302959015,0.03919648738101955,490,203
stretch_manh,2,1e-08,734,428,0.597103825136612,2.3305139745917208e-39,6.302759770660909,6.144113047928124,244,225,0.13807178043631246,0.007443498852849909,0.828311759821924,0.03919648738101955,490,203
stretch_manh,3,0.0001,734,428,0.4731147540983607,2.9437118515863346e-24,3.788723729491159,4.7912579198564345,244,225,0.07860661505981703,0.3175300848910142,0.4199084152961852,0.36386264125432977,490,203
stretch_manh,3,1e-06,734,428,0.4731147540983607,2.9437118515863346e-24,4.410626046616468,4.7912579198564345,244,225,0.07980295566502463,0.3006040239378094,0.5752409856624155,0.36386264125432977,490,203
stretch_manh,3,1e-08,734,428,0.4731147540983607,2.9437118515863346e-24,4.429556362021286,4.7912579198564345,244,225,0.07980295566502463,0.3006040239378094,0.5763937819604811,0.36386264125432977,490,203
stretch_manh,4,0.0001,732,428,0.5225865209471767,9.302783204871652e-30,4.626629816477889,4.6688563962532506,244,225,0.08259307114592587,0.2637657899320307,0.40074444404373677,0.0,488,203
stretch_manh,4,1e-06,732,428,0.5225865209471767,9.302783204871652e-30,4.839154947740772,4.6688563962532506,244,225,0.08259307114592587,0.2637657899320307,0.46240162453715816,0.0342140646409792,488,203
stretch_manh,4,1e-08,732,428,0.5225865209471767,9.302783204871652e-30,4.848607727632926,4.6688563962532506,244,225,0.08259307114592587,0.2637657899320307,0.5549570332402765,0.0342140646409792,488,203
