feature,family,normal_domain_smd,normal_domain_smd_ci_low,normal_domain_smd_ci_high,normal_domain_ks,normal_domain_ks_p,normal_domain_auc,normal_domain_wasserstein_standardised,normal_domain_n_a,normal_domain_n_b,pneumonia_domain_smd,pneumonia_domain_smd_ci_low,pneumonia_domain_smd_ci_high,pneumonia_domain_ks,pneumonia_domain_ks_p,pneumonia_domain_auc,pneumonia_domain_wasserstein_standardised,pneumonia_domain_n_a,pneumonia_domain_n_b,class_auc_development,class_auc_benchmark,differential_smd,differential_auc,normal_domain_ks_p_holm,normal_domain_ks_p_bh,pneumonia_domain_ks_p_bh,passes_gate
intensity_p1,photometry,0.4072393847405891,0.2970116513718287,0.5135849925110368,0.17498496035001368,1.4702869510532495e-05,0.5880284386108832,0.5726372844759595,1219,225,-0.23423822042497514,-0.34519254529849197,-0.12582194077716796,0.09660802251935256,0.05627107839047757,0.5275077912938574,0.1962184258434808,2450,203,0.7047112889454387,0.601368363437329,0.173001164315614,0.06052064731702578,0.00044108608531597486,5.0234804160986025e-05,0.11024253661877172,False
corner_uniformity,geometry,-0.24461043233459448,-0.4057938070485317,-0.08816341303278934,0.17247288305532768,2.0582718618086848e-05,0.5826889071187678,0.3046653446377426,1219,225,0.18882666802974046,0.05880326165386969,0.3233071192903562,0.12215341308937368,0.006743696551804303,0.56618880064341,0.1938991994780711,2450,203,0.5764457316971087,0.5727859879584019,0.05578376430485402,0.016500106475357712,0.0005968988399245186,6.491472794935083e-05,0.027649155862397645,False
intensity_p99,photometry,-0.275866236493175,-0.41583822732651954,-0.13722475160289654,0.1402752711694467,0.0009997464482323312,0.5809279008294594,0.2935209808057173,1219,225,0.006941756252602252,-0.12393759264693718,0.15023536693731812,0.06340605207600282,0.41969012990456384,0.5021292852116216,0.11009516713177087,2450,203,0.7985165157121092,0.7580186097427477,0.26892448024057275,0.07879861561783785,0.022994168309343616,0.0021573475988171356,0.5409298457808204,False
intensity_p5,photometry,0.29521046602768,0.1562674227953549,0.42251261788965244,0.15854890164980404,0.0001218845707153167,0.5803700665390575,0.34300478923984234,1219,225,-0.27582386664980874,-0.3874385714726357,-0.16445873989910592,0.1257283603096411,0.004816572693578056,0.5394872825977681,0.2328506195910702,2450,203,0.6936070047379084,0.5938040503557744,0.01938659937787124,0.04088278394128941,0.0032908834093135506,0.00033315115995519894,0.024684935054587537,False
hf_energy_frac_norm256,quality,-0.22658948360364675,-0.40273742015516,-0.07181146605213504,0.20042657916324857,3.655413081609202e-07,0.5729687357579072,0.49960868128240543,1219,225,0.11980182535335297,-0.014915706043149624,0.24756048927715868,0.09472202674173118,0.06453221655732978,0.5352327334874836,0.13953684946043102,2450,203,0.6641743818117896,0.732807881773399,0.10678765825029378,0.03773600227042362,1.1331780552988525e-05,1.3624721485997934e-06,0.11024253661877172,False
near_black_frac,photometry,-0.24771098940022937,-0.39807734919040333,-0.09942168787137776,0.13038738492389026,0.0028007878359255145,0.5679919788533406,0.25577718860163096,1219,225,0.047142599976096745,-0.09709875761198968,0.19033028772082886,0.08668543279380718,0.11223442140520291,0.5258731275761537,0.06439295497838986,2450,203,0.6365716294721334,0.5537383689107828,0.20056838942413263,0.04211885127718695,0.05321496888258478,0.004992708750997657,0.17043004731901182,False
unique_gray_levels,quality,-0.12883594993600664,-0.25523114933807856,0.013666200356145205,0.13739495032358034,0.0013598489550369303,0.5642493847415915,0.14421745402923364,1219,225,0.16950175126832379,0.05566799619257119,0.29399341952636787,0.09969035890218156,0.0447233988620143,0.5025515230722831,0.21217197016693312,2450,203,0.7739965846880179,0.7541871921182266,-0.04066580133231715,0.06169786166930835,0.029916677010812465,0.0027876903578257072,0.09650838701803086,False
centre_border_contrast,geometry,0.18615529676891335,0.03537833491801614,0.33608115886141476,0.13376355847233615,0.0019873959182926575,0.5581988879773949,0.2157165317268229,1219,225,0.024730137191930675,-0.10743311236464402,0.15092320059656905,0.08225193525686136,0.149132176489164,0.5184739117321806,0.13099385097895774,2450,203,0.8012181279402655,0.7672249589490968,0.16142515957698267,0.039724976245214316,0.039747918365853147,0.00370378330227268,0.2183721155734187,False
iqr,photometry,-0.15449858766786906,-0.3126377225336757,-0.004148238947672411,0.14274359675508158,0.0007636492220319316,0.5547516179017409,0.21140936863308993,1219,225,0.14733652354159354,0.02486689561667266,0.27232087454665826,0.12066150598170303,0.007738220590090958,0.5518699105257867,0.21455421163583832,2450,203,0.6271991093402086,0.5325889436234263,0.007162064126275514,0.002881707375954168,0.018327581328766357,0.0017394232279616222,0.0288424585630663,False
tenengrad,quality,-0.1439518354826339,-0.30253737448511075,0.003663506337329375,0.2081524017865281,1.0754156660706669e-07,0.5529195150852246,0.27531187204339935,1219,225,0.2913269988968242,0.15358692324688944,0.4266931936748006,0.10710767065446869,0.024983908563808492,0.5509761737207197,0.3535390722860714,2450,203,0.6702543068088598,0.739463601532567,-0.14737516341419027,0.0019433413645049136,3.441330131426134e-06,4.409204230889734e-07,0.06402126569475926,False
