experiment,feature,family,spearman_rho,spearman_p,cliffs_delta_fp_vs_tn,median_shift_fp_vs_tn,n_fp,n_tn,spearman_p_bh
stretch_nhe,margin_bottom_frac,geometry,-0.07509505844312395,0.2619744778866261,-0.006024096385542169,0.0,59,166,0.32548344222277786
stretch_nhe,margin_left_frac,geometry,-0.23953015307002531,0.000287994302761839,-0.2664896875638145,-0.0067917958378108,59,166,0.0007871844275490267
stretch_nhe,margin_right_frac,geometry,-0.25592266315827683,0.00010346852510027874,-0.2610782111496835,-0.0337373447517404,59,166,0.00035351746075928573
stretch_nhe,background_frac,geometry,-0.27651984646009614,2.58763278858113e-05,-0.2479068817643455,-0.05184180141901734,59,166,9.644813121075122e-05
stretch_nhe,centre_border_contrast,geometry,0.19826864636991484,0.0028156694458821353,0.28017153359199515,6.869844020264132,59,166,0.005772122364058377
stretch_nhe,corner_uniformity,geometry,0.16476567886940524,0.013336453603061576,0.16173167245252196,4.451762468112719,59,166,0.026037837986929744
stretch_nhe,corner_mean,geometry,0.0824036464410274,0.2182236858387952,0.016336532570961848,-0.7971487187718438,59,166,0.2982390373130201
stretch_nhe,intensity_mean,photometry,0.10643863592427091,0.11133681154823953,0.006126199714110658,1.272905676047074,59,166,0.1630289026242079
stretch_nhe,intensity_std,photometry,-0.07358990391377156,0.2716845897218812,-0.12660812742495403,-1.3005185386908664,59,166,0.3276196523116803
stretch_nhe,intensity_p1,photometry,-0.08608475053414325,0.1982795884623303,-0.16734735552379004,0.0,59,166,0.2803263147226049
stretch_nhe,intensity_p5,photometry,-0.06434494883235255,0.3366555290814329,-0.10353277516847048,0.0,59,166,0.38341324145385414
stretch_nhe,intensity_p25,photometry,0.12796069838083027,0.055287997925447,0.05891362058403099,-0.5,59,166,0.09067231659773307
stretch_nhe,intensity_p50,photometry,0.15514987990238094,0.0198907239534378,0.042168674698795205,0.5,59,166,0.03608371481088041
stretch_nhe,intensity_p75,photometry,0.07180118773481929,0.2835387041189738,-0.05125587094139272,-1.0,59,166,0.33214533911079785
stretch_nhe,intensity_p95,photometry,-0.048031109660451675,0.473455757766691,-0.15111292628139678,-1.0,59,166,0.5246401640117387
stretch_nhe,intensity_p99,photometry,-0.03604302366569615,0.5907090166996526,-0.1050643250969982,-3.0,59,166,0.6210017867868143
stretch_nhe,dynamic_range,photometry,0.0055984063175365945,0.9334468073199907,-0.016336532570961848,0.0,59,166,0.9334468073199907
stretch_nhe,iqr,photometry,-0.15057344386254531,0.023888614800329815,-0.1808249948948335,-5.0,59,166,0.040809716950563436
stretch_nhe,histogram_entropy,photometry,-0.21286199581858187,0.001317973608060413,-0.23912599550745356,-0.09614193512178204,59,166,0.0030020509961376073
stretch_nhe,skewness,photometry,-0.23206870631516346,0.00044864879270459457,-0.180110271594854,-0.07785265477915104,59,166,0.0011496625313055235
stretch_nhe,kurtosis,photometry,0.2046171537174219,0.0020364308307265653,0.2082907902797631,0.14611557965717892,59,166,0.004394403371567852
stretch_nhe,near_black_frac,photometry,0.10648393725449706,0.11118380957955523,0.1848070247090055,0.014420397503171645,59,166,0.1630289026242079
stretch_nhe,near_white_frac,photometry,0.34271071856959373,1.3452651578352624e-07,0.5239942822136001,0.00045033540056065003,59,166,6.89448393390572e-07
stretch_nhe,laplacian_variance,quality,0.31711932001649806,1.1964710239683034e-06,0.4470083724729426,28.4535462149868,59,166,5.450590220300049e-06
stretch_nhe,tenengrad,quality,0.3560331626807642,3.9793902703652816e-08,0.5229732489279151,365.42324161528404,59,166,2.330785729785379e-07
stretch_nhe,edge_density,quality,-0.12649448298276597,0.05816321425014055,-0.032673065141923585,0.0006815439926023403,59,166,0.0917189147790678
stretch_nhe,noise_estimate,quality,0.22511969296233297,0.0006695392590930034,0.34776393710434955,0.06852363113325632,59,166,0.0016147711542831259
stretch_nhe,unique_gray_levels,quality,0.046481099002615114,0.4878652348613008,0.09750867878292832,0.0,59,166,0.5263809112977192
stretch_nhe,file_size_bytes,quality,-0.48779576896110877,7.491651599572818e-15,-0.5971002654686544,-78437.5,59,166,7.678942889562139e-14
stretch_nhe,file_size_per_pixel,quality,0.15471721171365976,0.020242083918298764,0.26301817439248515,0.005971080126892903,59,166,0.03608371481088041
stretch_nhe,hf_energy_frac_norm256,quality,0.4131950132717095,1.0884720092239356e-10,0.5887277925260364,0.02646377352682322,59,166,7.437892063030226e-10
