experiment,calibrator,position,oracle_specificity,raw_locked_specificity,calibrated_specificity,threshold_recovery,remaining_oracle_gap,recovery_ratio,sensitivity,spec_ci_low,spec_ci_high,sens_ci_low,sens_ci_high,brier_ci_low,brier_ci_high
stretch_nhe,beta,post_ensemble,0.8533333333333334,0.7644444444444445,0.76,-0.004444444444444473,0.09333333333333338,-0.050000000000000315,0.9901477832512315,-0.01333333333333342,0.0,0.0,0.0,0.0311520763685698,0.04240757246705712
stretch_nhe,beta,pre_ensemble,0.8533333333333334,0.7644444444444445,0.7644444444444445,0.0,0.0888888888888889,0.0,0.9901477832512315,-0.013333333333333308,0.013333333333333308,0.0,0.0,0.02531089575726841,0.03525760057585773
stretch_nhe,isotonic,post_ensemble,0.8533333333333334,0.7644444444444445,0.7377777777777778,-0.026666666666666727,0.11555555555555563,-0.3000000000000006,0.9950738916256158,-0.04888888888888887,-0.008888888888888835,0.0,0.014778325123152691,0.029147730880253152,0.040577947041703984
stretch_nhe,isotonic,pre_ensemble,0.8533333333333334,0.7644444444444445,0.7333333333333333,-0.0311111111111112,0.1200000000000001,-0.3500000000000009,0.9950738916256158,-0.057777777777777706,-0.008888888888888946,0.0,0.014778325123152691,0.02732278974474835,0.038621241441647185
augment_manh,raw,post_ensemble,0.7733333333333333,0.6755555555555556,0.6755555555555556,0.0,0.09777777777777774,0.0,0.9950738916256158,0.0,0.0,0.0,0.0,0.0,0.0
augment_manh,raw,pre_ensemble,0.7733333333333333,0.6755555555555556,0.6755555555555556,0.0,0.09777777777777774,0.0,0.9950738916256158,0.0,0.0,0.0,0.0,0.0,0.0
augment_manh,temperature,post_ensemble,0.7733333333333333,0.6755555555555556,0.6755555555555556,0.0,0.09777777777777774,0.0,0.9950738916256158,0.0,0.0,0.0,0.0,0.0005038885410403177,0.001135547804906837
augment_manh,temperature,pre_ensemble,0.7733333333333333,0.6755555555555556,0.68,0.004444444444444473,0.09333333333333327,0.04545454545454576,0.9950738916256158,0.0,0.01333333333333342,0.0,0.0,0.0008019018900781785,0.001920520361682003
augment_manh,intercept,post_ensemble,0.7733333333333333,0.6755555555555556,0.6622222222222223,-0.013333333333333308,0.11111111111111105,-0.13636363636363616,0.9950738916256158,-0.03111111111111109,0.0,0.0,0.0,0.025940903517450514,0.03499971387782399
augment_manh,intercept,pre_ensemble,0.7733333333333333,0.6755555555555556,0.6755555555555556,0.0,0.09777777777777774,0.0,0.9950738916256158,-0.013333333333333308,0.013333333333333308,0.0,0.0,0.019343972514327207,0.027036437157076494
augment_manh,platt,post_ensemble,0.7733333333333333,0.6755555555555556,0.6622222222222223,-0.013333333333333308,0.11111111111111105,-0.13636363636363616,0.9950738916256158,-0.03111111111111109,0.0,0.0,0.0,0.027976282796561853,0.03805615052742384
